Round,ClientID,ClientAccuracy,ClientTrainingTime,exp,K,Z,sigma_ed,sigma_iid,timestamp
0,client5,0.5892751081822553,13256.07608165592,exp1,5,15,1000.0,10,10-05-26-111252
0,client17,0.6051536174430129,14348.36965892464,exp1,5,15,1000.0,10,10-05-26-111252
0,client13,0.6250175369679284,17724.689251743257,exp1,5,15,1000.0,10,10-05-26-111252
0,client1,0.6184091678898047,13643.318195827303,exp1,5,15,1000.0,10,10-05-26-111252
0,client9,0.6406861355259428,14206.47335331887,exp1,5,15,1000.0,10,10-05-26-111252
1,client5,0.6376106570127557,14318.734430707991,exp1,5,15,1000.0,10,10-05-26-111252
1,client17,0.5950162820331304,14055.92792853713,exp1,5,15,1000.0,10,10-05-26-111252
1,client13,0.6281882207693819,16301.23603437096,exp1,5,15,1000.0,10,10-05-26-111252
1,client1,0.6755955741221633,14174.66971091926,exp1,5,15,1000.0,10,10-05-26-111252
1,client9,0.6197618372554579,13963.275746442378,exp1,5,15,1000.0,10,10-05-26-111252
2,client5,0.6614248946460389,14556.606067344546,exp1,5,15,1000.0,10,10-05-26-111252
2,client17,0.6678182075605267,13537.148161791263,exp1,5,15,1000.0,10,10-05-26-111252
2,client13,0.688122562361458,16778.981684707105,exp1,5,15,1000.0,10,10-05-26-111252
2,client1,0.7036242520040645,14187.866057269275,exp1,5,15,1000.0,10,10-05-26-111252
2,client9,0.6728381060391267,13164.964106865227,exp1,5,15,1000.0,10,10-05-26-111252
3,client5,0.6521763724297875,13310.54236739874,exp1,5,15,1000.0,10,10-05-26-111252
3,client17,0.6926518476568031,13963.845506310465,exp1,5,15,1000.0,10,10-05-26-111252
3,client13,0.6601195319733999,16785.832729190588,exp1,5,15,1000.0,10,10-05-26-111252
3,client1,0.6618776109292085,14980.602031573651,exp1,5,15,1000.0,10,10-05-26-111252
3,client9,0.6078820527360362,13183.120812289417,exp1,5,15,1000.0,10,10-05-26-111252
4,client5,0.5549396159176401,12502.425964921713,exp1,5,15,1000.0,10,10-05-26-111252
4,client17,0.5473877955542971,13435.739811509848,exp1,5,15,1000.0,10,10-05-26-111252
4,client13,0.4046129240438845,17454.048726707697,exp1,5,15,1000.0,10,10-05-26-111252
4,client1,0.603844416845433,14492.59047023952,exp1,5,15,1000.0,10,10-05-26-111252
4,client9,0.4258576694074284,14676.270463503895,exp1,5,15,1000.0,10,10-05-26-111252
5,client5,0.7697768475832225,13201.572520658374,exp1,5,15,1000.0,10,10-05-26-111252
5,client17,0.743140308650715,13408.996408805251,exp1,5,15,1000.0,10,10-05-26-111252
5,client13,0.7549033362327787,16604.645201936364,exp1,5,15,1000.0,10,10-05-26-111252
5,client1,0.7566049452410523,14609.62608922273,exp1,5,15,1000.0,10,10-05-26-111252
5,client9,0.7569038843209527,13295.753481797874,exp1,5,15,1000.0,10,10-05-26-111252
6,client5,0.7843991288853692,14721.91636171192,exp1,5,15,1000.0,10,10-05-26-111252
6,client17,0.7571286988531786,14324.827687814832,exp1,5,15,1000.0,10,10-05-26-111252
6,client13,0.7665198237885462,16274.84329417348,exp1,5,15,1000.0,10,10-05-26-111252
6,client1,0.7635486056226714,14635.774925351145,exp1,5,15,1000.0,10,10-05-26-111252
6,client9,0.7735185710235327,15050.602152012289,exp1,5,15,1000.0,10,10-05-26-111252
7,client5,0.7871142913708742,13257.433314807711,exp1,5,15,1000.0,10,10-05-26-111252
7,client17,0.7350700835339091,13592.6964385435,exp1,5,15,1000.0,10,10-05-26-111252
7,client13,0.7622548331883611,16508.900959044695,exp1,5,15,1000.0,10,10-05-26-111252
7,client1,0.757790448233036,13487.096191383898,exp1,5,15,1000.0,10,10-05-26-111252
7,client9,0.8095265097816842,14547.888246364892,exp1,5,15,1000.0,10,10-05-26-111252
8,client5,0.7615747942415929,13439.373891800642,exp1,5,15,1000.0,10,10-05-26-111252
8,client17,0.7360894803907688,13733.014083467424,exp1,5,15,1000.0,10,10-05-26-111252
8,client13,0.7139089200033671,16467.903185635805,exp1,5,15,1000.0,10,10-05-26-111252
8,client1,0.7438184486846562,17417.807780206203,exp1,5,15,1000.0,10,10-05-26-111252
